区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,小黄庄一区 ,3室1厅,92.68,830,89556,房本满五年,东西,精装,无,高楼层(共21层)1990年建板塔结合,,-
东城,天娇园 ,2室1厅,73.29,695,94829,房本满五年,西,精装,有电梯,低楼层(共11层)2007年建板楼,,-
东城,国瑞城东区 ,2室1厅,75.45,715,94765,房本满五年,西北,精装,有电梯,高楼层(共16层)2006年建板塔结合,,-
东城,国瑞城东区 ,1室1厅,60.84,580,95333,房本满五年,南,精装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,同福夹道 ,2室1厅,59.19,660,111506,房本满五年,南北,简装,无,低楼层(共11层)1990年建板楼,,-
东城,花市枣苑一期 ,3室2厅,138.42,1300,93918,房本满五年,东北,简装,无,低楼层(共18层)2002年建塔楼,,-
东城,新景家园西区 ,2室1厅,93.1,900,96671,房本满五年,东,简装,无,高楼层(共12层)2001年建板塔结合,,-
东城,灯市口大街27号院 ,2室1厅,48.53,590,121575,房本满五年,南,毛坯,无,底层(共5层)1986年建板楼,,-
东城,富莱茵花园 ,2室1厅,119.1,710,59614,房本满五年,东北,简装,有电梯,低楼层(共21层)2002年建塔楼,,-
东城,和平新城一期 ,2室1厅,126.38,1150,90996,房本满五年,西北,精装,有电梯,低楼层(共19层)2003年建板塔结合,,-
东城,安德路47号院 ,3室1厅,70.17,650,92633,房本满五年,南北,简装,无电梯,底层(共7层)1989年建板楼,,-
东城,西青年沟 ,2室1厅,54.26,495,91228,房本满五年,南北,简装,无,顶层(共6层)1987年建板楼,,-
东城,北京上舍 ,1室0厅,64.68,600,92765,房本满五年,北,精装,有电梯,中楼层(共15层)2008年建塔楼,,-
东城,绿景苑 ,2室1厅,69.61,660,94814,房本满五年,西,精装,无,中楼层(共14层)2000年建板塔结合,,-
东城,东直门内大街 ,2室1厅,64.89,713,109879,房本满五年,南北,其他,有电梯,低楼层(共12层)2002年建板楼,,-
东城,民安小区东扬威街 ,2室1厅,71.4,770,107844,房本满五年,南,其他,有电梯,低楼层(共12层)2002年建板楼,,-
东城,新景家园西区 ,3室1厅,88.72,880,99189,房本满五年,东南西,精装,无电梯,底层(共6层)2004年建板塔结合,,-
东城,水上华城 ,2室2厅,110.67,1170,105720,房本满五年,南北,其他,无,高楼层(共23层)2006年建板塔结合,,-
东城,永定门外大街 ,2室1厅,50.01,385,76985,房本满五年,东,简装,无电梯,顶层(共6层)1983年建板楼,,-
东城,胡家园小区 ,2室1厅,69.29,598,86304,房本满五年,南,简装,有电梯,高楼层(共17层)1991年建塔楼,,-
东城,交道口北二条35号院 ,1室1厅,42.67,565,132412,房本满五年,南,简装,无,高楼层(共6层)1988年建板楼,,-
东城,丽水湾畔家园 ,3室2厅,146.77,1290,87893,房本满五年,东南,精装,有电梯,高楼层(共21层)2002年建塔楼,,-
东城,安德路47号院 ,2室1厅,64.82,500,77137,房本满五年,东北,简装,无电梯,高楼层(共6层)1988年建板楼,,-
东城,左安漪园 ,3室1厅,123.92,1090,87960,房本满五年,东北,精装,有电梯,中楼层(共15层)2004年建板塔结合,,-
